,Genero,ID Artista,Nombre Artista,Popularidad,Total de Seguidores
0,"['album rock', 'australian rock', 'hard rock', 'rock']",711MCceyCBcFnzjGY4Q7Un,AC/DC,85,17141673
1,"['afropop', 'desert blues', 'griot', 'mbalax', 'musique peule', 'world']",49z6oAiD2RpyUf5yLJs7Nf,Baaba Maal,52,49882
2,"['la pop', ""women's music""]",0J7U24vlOOIeMpuaO6Q85A,LP,71,1902299
3,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",49qiE8dj4JuNdpYGRPdKbF,Stone Sour,69,2092781
4,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,76,5896120
5,"['latin alternative', 'latin rock', 'musica aragonesa', 'rock en espanol', 'spanish rock']",3qAPxVwIQRBuz5ImPUxpZT,Heroes Del Silencio,68,1530958
6,"['latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'rock urbano mexicano']",7fFzUTQmuK6dcxov1opn5Q,La Castañeda,49,286526
