,ID Artista,Nombre Artista,id
0,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,1lO8VQK74G6Bvvf05BH4o5
1,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,3BqDKQg8onwppXlPw4SYnZ
2,49z6oAiD2RpyUf5yLJs7Nf,Baaba Maal,3BqDKQg8onwppXlPw4SYnZ
3,3qAPxVwIQRBuz5ImPUxpZT,Heroes Del Silencio,4vkSJSyPddHwL7v3l1cuRf
4,0J7U24vlOOIeMpuaO6Q85A,LP,2LIh4uzqq9cXMPzzmcToHl
5,7fFzUTQmuK6dcxov1opn5Q,La Castañeda,53gDb3nG9sMytzVzD6UCMb
6,49qiE8dj4JuNdpYGRPdKbF,Stone Sour,5NeIONQWJ25uPylJBJiO4c
7,711MCceyCBcFnzjGY4Q7Un,AC/DC,3EQjW604d5Cfbn8FnZmqyF
